,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Gore,100,NZ,1578602271,73,-46.19,168.86,57.0,13.0
1,Ushuaia,75,AR,1578602273,87,-54.81,-68.31,42.8,38.03
2,Atuona,20,PF,1578602275,76,-9.8,-139.03,81.97,21.68
3,Luganville,75,VU,1578602277,100,-15.51,167.18,77.0,4.7
4,San Ramon,75,NI,1578602279,94,12.92,-85.84,69.8,13.87
5,Carnarvon,0,ZA,1578602203,65,-30.97,22.13,66.56,20.42
6,Kazanskaya,100,RU,1578602283,95,45.41,40.44,34.0,3.33
7,Hermanus,76,ZA,1578602285,94,-34.42,19.24,64.0,18.3
8,Busselton,0,AU,1578602287,48,-33.64,115.35,55.0,12.12
9,Don Luan,59,VN,1578602290,73,11.53,106.92,70.5,3.15
10,Yinchuan,100,CN,1578602292,68,38.48,106.21,19.49,0.94
11,Maragogi,0,BR,1578602054,72,-9.01,-35.22,80.87,13.94
12,Hobart,75,AU,1578602296,64,-42.88,147.33,72.0,17.22
13,Kolpino,75,RU,1578602298,80,59.7,30.79,36.0,6.71
14,Albany,75,US,1578602300,30,42.65,-73.75,27.0,1.19
15,Hithadhoo,59,MV,1578602302,78,-0.6,73.08,82.45,13.94
16,New Norfolk,75,AU,1578602304,64,-42.78,147.06,72.0,17.22
17,Cumberland,1,US,1578602306,29,39.31,-74.98,37.0,3.36
18,Uttarkashi,0,IN,1578602308,15,30.78,78.62,6.46,10.76
19,Stykkisholmur,100,IS,1578602310,67,65.08,-22.73,22.82,22.7
20,Salmas,100,IR,1578602312,96,38.23,44.7,15.6,2.13
21,Rio Grande,40,BR,1578602152,74,-32.03,-52.1,82.4,8.05
22,Cape Town,40,ZA,1578602259,82,-33.93,18.42,66.0,17.22
23,Coyhaique,75,CL,1578602054,53,-45.58,-72.07,57.2,6.93
24,Nalut,0,LY,1578602321,71,31.86,10.98,49.21,7.05
25,Tautira,75,PF,1578602323,70,-17.73,-149.15,84.2,5.82
26,Dunedin,100,NZ,1578602325,62,-45.87,170.5,52.34,6.69
27,Longyearbyen,40,NO,1578602204,51,78.22,15.63,10.4,38.03
28,Luanda,75,AO,1578602269,83,-8.83,13.24,80.6,9.17
29,Huanren,0,CN,1578602331,93,41.26,125.37,4.03,0.89
30,Ahipara,33,NZ,1578602145,91,-35.17,173.16,69.01,1.99
31,Nabire,100,ID,1578602335,94,-3.36,135.5,72.09,2.21
32,Aksarka,100,RU,1578602337,90,66.56,67.8,19.89,23.4
33,Hirna,0,ET,1578602340,58,9.29,41.09,70.74,6.44
34,Qaanaaq,97,GL,1578602342,76,77.48,-69.36,-15.07,5.37
35,Sangar,100,RU,1578602344,98,63.92,127.47,-11.02,4.38
36,Tasiilaq,40,GL,1578602346,50,65.61,-37.64,6.8,2.24
37,Rikitea,84,PF,1578602348,83,-23.12,-134.97,76.95,21.09
38,Baishishan,0,CN,1578602350,95,43.58,127.55,4.69,2.01
39,Dikson,100,RU,1578602241,91,73.51,80.55,4.98,21.3
40,Port Alfred,50,ZA,1578602354,86,-33.59,26.89,66.99,3.0
41,Bilma,58,NE,1578602356,20,18.69,12.92,64.06,8.25
42,Balclutha,100,NZ,1578602358,58,-46.28,169.85,55.99,11.99
43,San Quintin,46,PH,1578602360,82,17.54,120.52,69.4,4.29
44,Trairi,100,BR,1578602362,87,-3.28,-39.27,77.0,3.33
45,Meulaboh,100,ID,1578602365,78,4.14,96.13,81.09,5.75
46,Puerto Ayora,40,EC,1578602367,74,-0.74,-90.35,82.4,19.46
47,A Coruna,40,ES,1578602369,76,43.2,-8.36,54.0,8.05
48,Avarua,100,CK,1578602084,74,-21.21,-159.78,82.4,12.75
49,Okhotsk,0,RU,1578602373,68,59.36,143.24,-10.88,18.57
50,Hilo,90,US,1578602375,48,19.71,-155.08,87.8,17.22
51,Ambon,67,FR,1578602377,100,47.55,-2.56,52.0,13.87
52,Bathsheba,20,BB,1578602379,62,13.22,-59.52,84.2,25.28
53,Dataganj,0,IN,1578602381,76,28.03,79.41,47.59,7.87
54,Luderitz,0,NA,1578602204,68,-26.65,15.16,66.2,13.87
55,Saskylakh,45,RU,1578602386,98,71.97,114.09,-20.7,5.01
56,Khatanga,100,RU,1578602388,95,71.98,102.47,-6.79,6.04
57,Dingle,75,PH,1578602390,91,11.0,122.67,72.97,10.87
58,Laxiong,97,CN,1578602392,88,35.77,102.37,11.79,3.44
59,Grand Gaube,40,MU,1578602394,73,-20.01,57.66,77.0,5.82
60,Syra,39,GR,1578602396,61,37.44,24.94,50.0,35.57
61,Camenca,100,MD,1578602398,92,48.03,28.7,32.0,2.75
62,Castro,90,CL,1578602400,81,-42.48,-73.76,53.6,5.82
63,Ribeira Grande,40,PT,1578602402,88,38.52,-28.7,62.6,13.87
64,Torbay,90,CA,1578602404,79,47.66,-52.73,27.0,33.33
65,Tilichiki,100,RU,1578602407,95,60.47,166.1,-6.54,11.63
66,Juneau,75,US,1578602240,57,58.3,-134.42,21.2,5.82
67,Bredasdorp,100,ZA,1578602411,94,-34.53,20.04,61.0,7.36
