Cities,Latitude,Temp,Humidity,Windspeed,Cloudiness
saskylakh,71.97,-2.59,90,2.57,80
cape town,-33.93,17,88,6.2,20
lazaro cardenas,28.39,26,26,2.07,20
yellowknife,62.45,1,69,2.1,90
saint-philippe,45.36,15.8,93,6.7,90
obertyn,48.7,4,100,1.72,90
ushuaia,-54.81,7,75,8.7,75
rawson,-43.3,15.06,30,3.47,0
narsaq,60.91,-2,58,1.12,56
waterloo,43.47,26,61,6.7,75
aykhal,65.95,-5.79,81,1.42,64
manicore,-5.81,36.21,33,1.42,20
marigot,18.23,27.71,100,2.67,24
hobart,-42.88,5,80,4.6,75
ryotsu,38.08,17,100,4.1,75
cotoca,-17.75,24,100,4.22,90
butaritari,3.07,28.71,100,4.32,48
nantucket,41.28,23.3,96,3.6,90
kapaa,22.08,27.2,72,5.7,75
waipawa,-39.94,15.91,50,2.22,12
kroya,-6.5,21.41,94,1.32,0
salalah,17.01,27.21,92,2.17,0
atuona,-9.8,26.16,100,6.32,80
rocha,-34.48,14.81,46,5.57,0
punta arenas,-53.16,9,84,12.3,0
rikitea,-23.12,24.06,94,7.97,76
busselton,-33.64,17.91,94,5.72,24
new glasgow,45.59,8.36,100,4.17,92
nouadhibou,20.93,23,88,5.7,20
port alfred,-33.59,19.06,99,3.47,80
bethel,60.79,4.4,100,3.1,90
hermanus,-34.42,14.06,93,1.22,76
lavrentiya,65.58,4.86,100,10.77,92
east london,-33.02,21.16,100,2.52,92
kirkuk,35.47,24.71,31,4.02,80
nome,30.04,31.1,48,6.7,1
vaini,15.34,19.56,90,0.97,0
eureka,40.8,15,67,8.2,1
vila franca do campo,37.72,19,59,5.1,40
toamasina,-18.17,24,78,4.1,40
mataura,-46.19,4.81,100,1.67,24
dikson,73.51,1.91,100,10.67,64
boddam,57.47,11,93,3.1,12
kahului,20.89,28,79,4.6,75
ahipara,-35.17,16.41,89,3.82,80
hilo,19.71,28.3,65,4.6,1
ostrovnoy,68.05,2.01,88,8.52,80
laela,-8.57,20.66,52,2.42,56
bhainsa,26.95,22.61,68,0.52,56
belaya gora,68.54,-15.99,84,1.52,0
carnarvon,-30.97,17.41,23,3.67,8
vila velha,-3.71,27,78,6.2,20
mar del plata,-46.43,14.36,39,3.87,0
tabas,33.6,22,12,3.1,0
mogadishu,2.04,25.71,100,6.17,76
kaitangata,-46.28,6.31,100,2.22,36
napier,-39.49,14.46,84,2.52,32
jamestown,-33.21,7.31,85,2.82,8
saldanha,41.42,15.91,69,5.42,44
cidreira,-30.17,18.96,71,5.27,92
sao joao da barra,-21.64,25.01,92,13.02,92
leninskoye,54.82,2,87,1,75
bluff,-23.58,24.91,51,6.92,12
half moon bay,37.46,22.2,54,6.7,40
ketchikan,55.34,11.7,71,4.1,1
tezu,27.93,16.41,65,0.87,0
cheyenne,41.14,-0.84,83,2.57,88
singaraja,-8.11,25,94,1,40
